Month,100 metres,400 metres,10000 metres
1924-02,21.103,18.56,11.894
1924-03,21.103,18.56,11.894
1924-04,21.103,18.56,11.894
1924-05,21.103,18.56,11.894
1924-06,21.103,18.56,11.894
1924-07,21.103,18.8,12.269
1924-08,21.103,18.8,12.269
1924-09,21.103,18.8,12.269
1924-10,21.103,18.8,12.269
1924-11,21.103,18.8,12.269
1924-12,21.103,18.8,12.269
1925-01,21.103,18.8,12.269
1925-02,21.103,18.8,12.269
1925-03,21.103,18.8,12.269
1925-04,21.103,18.8,12.269
1925-05,21.103,18.8,12.269
1925-06,21.103,18.8,12.269
1925-07,21.103,18.8,12.269
1925-08,21.103,18.8,12.269
1925-09,21.103,18.8,12.269
1925-10,21.103,18.8,12.269
1925-11,21.103,18.8,12.269
1925-12,21.103,18.8,12.269
1926-01,21.103,18.8,12.269
1926-02,21.103,18.8,12.269
1926-03,21.103,18.8,12.269
1926-04,21.103,18.8,12.269
1926-05,21.103,18.8,12.269
1926-06,21.103,18.8,12.269
1926-07,21.103,18.8,12.269
1926-08,21.103,18.8,12.269
1926-09,21.103,18.8,12.269
1926-10,21.103,18.8,12.269
1926-11,21.103,18.8,12.269
1926-12,21.103,18.8,12.269
1927-01,21.103,18.8,12.269
1927-02,21.103,18.8,12.269
1927-03,21.103,18.8,12.269
1927-04,21.103,18.8,12.269
1927-05,21.103,18.8,12.269
1927-06,21.103,18.8,12.269
1927-07,21.103,18.8,12.269
1927-08,21.103,18.8,12.269
1927-09,21.103,18.8,12.269
1927-10,21.103,18.8,12.269
1927-11,21.103,18.8,12.269
1927-12,21.103,18.8,12.269
1928-01,21.103,18.8,12.269
1928-02,21.103,18.8,12.269
1928-03,21.103,18.8,12.269
1928-04,21.103,18.8,12.269
1928-05,21.103,18.8,12.269
1928-06,21.103,18.8,12.269
1928-07,21.103,18.8,12.269
1928-08,21.103,18.8,12.299
1928-09,21.103,18.8,12.299
1928-10,21.103,18.8,12.299
1928-11,21.103,18.8,12.299
1928-12,21.103,18.8,12.299
1929-01,21.103,18.8,12.299
1929-02,21.103,18.8,12.299
1929-03,21.103,18.8,12.299
1929-04,21.103,18.8,12.299
1929-05,21.103,18.8,12.299
1929-06,21.103,18.8,12.299
1929-07,21.103,18.8,12.299
1929-08,21.103,18.8,12.299
1929-09,21.103,18.8,12.299
1929-10,21.103,18.8,12.299
1929-11,21.103,18.8,12.299
1929-12,21.103,18.8,12.299
1930-01,21.103,18.8,12.299
1930-02,21.103,18.8,12.299
1930-03,21.103,18.8,12.299
1930-04,21.103,18.8,12.299
1930-05,21.103,18.8,12.299
1930-06,21.103,18.8,12.299
1930-07,21.103,18.8,12.299
1930-08,21.103,18.8,12.299
1930-09,21.103,18.8,12.299
1930-10,21.103,18.8,12.299
1930-11,21.103,18.8,12.299
1930-12,21.103,18.8,12.299
1931-01,21.103,18.8,12.299
1931-02,21.103,18.8,12.299
1931-03,21.103,18.8,12.299
1931-04,21.103,18.8,12.299
1931-05,21.103,18.8,12.299
1931-06,21.103,18.8,12.299
1931-07,21.103,18.8,12.299
1931-08,21.103,18.8,12.299
1931-09,21.103,18.8,12.299
